ZIP,form,time_min,time_max,LAT,LNG,year,month,time_mean
60605,I-485,12.1,31.6,41.867566,-87.617228,2017,1,21.85
63103,N-400,7,19.5,38.629712,-90.216863,2017,1,13.25
63103,N-600,6,7.9,38.629712,-90.216863,2017,1,6.95
63103,I-485,9.8,20.4,38.629712,-90.216863,2017,1,15.1
64063,I-131,3.7,5.6,38.911994,-94.351673,2017,1,4.65
64063,I-539,2.8,4.6,38.911994,-94.351673,2017,1,3.6999999999999997
64063,I-817,12.1,21.8,38.911994,-94.351673,2017,1,16.95
64063,I-824,3.3,9.8,38.911994,-94.351673,2017,1,6.550000000000001
64063,I-600,2.8,4.6,38.911994,-94.351673,2017,1,3.6999999999999997
64063,I-765,3.7,5.6,38.911994,-94.351673,2017,1,4.65
64063,I-600A,2.8,4.6,38.911994,-94.351673,2017,1,3.6999999999999997
64063,I-765,6,7.9,38.911994,-94.351673,2017,1,6.95
64063,I-102,3.3,7,38.911994,-94.351673,2017,1,5.15
64153,I-485,7,24.2,39.274581,-94.726643,2017,1,15.6
64153,N-600,2.3,6.5,39.274581,-94.726643,2017,1,4.4
64153,N-400,4.6,10.2,39.274581,-94.726643,2017,1,7.3999999999999995
67203,N-600,5.1,7,37.700763,-97.365701,2017,1,6.05
67203,N-400,6.5,11.6,37.700763,-97.365701,2017,1,9.05
67203,I-485,9.8,20.4,37.700763,-97.365701,2017,1,15.1
68110,I-485,9.8,20.4,41.302498,-95.892524,2017,1,15.1
68110,N-400,7,15.3,41.302498,-95.892524,2017,1,11.15
68508,I-140,5.6,7.4,40.818272,-96.703937,2017,1,6.5
68508,I-821,3.7,5.6,40.818272,-96.703937,2017,1,4.65
68508,I-129,3.3,5.1,40.818272,-96.703937,2017,1,4.199999999999999
68508,I-821,3.7,5.6,40.818272,-96.703937,2017,1,4.65
68508,I-751,14.9,21.8,40.818272,-96.703937,2017,1,18.35
68508,I-824,3.3,9.8,40.818272,-96.703937,2017,1,6.550000000000001
68508,I-212,10.2,13.5,40.818272,-96.703937,2017,1,11.85
68508,I-360,0.9,6.5,40.818272,-96.703937,2017,1,3.7
68508,I-765,2.8,4.6,40.818272,-96.703937,2017,1,3.6999999999999997
68508,I-539,3.3,5.1,40.818272,-96.703937,2017,1,4.199999999999999
68508,I-131,3.7,5.6,40.818272,-96.703937,2017,1,4.65
68508,I-130,7,9.3,40.818272,-96.703937,2017,1,8.15
68508,I-102,3.3,7,40.818272,-96.703937,2017,1,5.15
68508,I-131,3.7,5.6,40.818272,-96.703937,2017,1,4.65
68508,I-130,7,9.3,40.818272,-96.703937,2017,1,8.15
68508,I-131,3.7,5.6,40.818272,-96.703937,2017,1,4.65
68508,I-821,3.7,5.6,40.818272,-96.703937,2017,1,4.65
68508,I-130,7,9.3,40.818272,-96.703937,2017,1,8.15
68508,I-821D,4.6,7.4,40.818272,-96.703937,2017,1,6
68508,I-765,2.8,4.6,40.818272,-96.703937,2017,1,3.6999999999999997
68508,I-918,46.9,47.4,40.818272,-96.703937,2017,1,47.15
68508,I-730,7.9,10.2,40.818272,-96.703937,2017,1,9.05
68508,I-821,3.7,5.6,40.818272,-96.703937,2017,1,4.65
68508,I-140,4.2,6,40.818272,-96.703937,2017,1,5.1
68508,I-821D,4.6,6.5,40.818272,-96.703937,2017,1,5.55
68508,I-131,3.7,5.6,40.818272,-96.703937,2017,1,4.65
68508,I-765,2.8,4.6,40.818272,-96.703937,2017,1,3.6999999999999997
68508,I-765,0.7,2.8,40.818272,-96.703937,2017,1,1.75
68508,I-129F,7,9.3,40.818272,-96.703937,2017,1,8.15
68508,N-656,9.3,12.1,40.818272,-96.703937,2017,1,10.7
68508,I-140,4.6,6.5,40.818272,-96.703937,2017,1,5.55
68508,I-131,3.7,5.6,40.818272,-96.703937,2017,1,4.65
68508,I-539,3.3,5.1,40.818272,-96.703937,2017,1,4.199999999999999
68508,I-140,7,8.8,40.818272,-96.703937,2017,1,7.9
68508,I-140,4.2,6,40.818272,-96.703937,2017,1,5.1
68508,I-601A,6,7.9,40.818272,-96.703937,2017,1,6.95
68508,I-485,7.9,13.5,40.818272,-96.703937,2017,1,10.7
68508,I-601,10.2,13.5,40.818272,-96.703937,2017,1,11.85
68508,I-130,7,9.3,40.818272,-96.703937,2017,1,8.15
68508,I-130,7,9.3,40.818272,-96.703937,2017,1,8.15
70113,N-600,18.1,23.2,29.943018,-90.083073,2017,1,20.65
70113,N-400,13.5,19.5,29.943018,-90.083073,2017,1,16.5
70113,I-485,9.8,20.4,29.943018,-90.083073,2017,1,15.1
72904,I-485,9.8,20.4,35.41334,-94.382352,2017,1,15.1
72904,N-400,9.3,18.1,35.41334,-94.382352,2017,1,13.700000000000001
72904,N-600,0.7,6.5,35.41334,-94.382352,2017,1,3.6
73119,N-600,6,7.9,35.422007,-97.566125,2017,1,6.95
73119,N-400,6,11.6,35.422007,-97.566125,2017,1,8.8
73119,I-485,8.8,17.7,35.422007,-97.566125,2017,1,13.25
75063,N-600,7.4,9.8,32.92043,-96.986323,2017,1,8.600000000000001
75063,I-485,17.2,21.8,32.92043,-96.986323,2017,1,19.5
75063,N-400,14.9,19,32.92043,-96.986323,2017,1,16.95
75227,I-765,0.9,4.6,32.76681,-96.6869,2017,1,2.75
75227,I-765,0.9,4.6,32.76681,-96.6869,2017,1,2.75
75227,I-824,3.3,9.8,32.76681,-96.6869,2017,1,6.550000000000001
75227,I-765,0.9,2.8,32.76681,-96.6869,2017,1,1.8499999999999999
75227,I-130,6,7.9,32.76681,-96.6869,2017,1,6.95
75227,I-751,14.4,18.1,32.76681,-96.6869,2017,1,16.25
75227,I-140,2.8,5.6,32.76681,-96.6869,2017,1,4.199999999999999
75227,I-130,6,7.9,32.76681,-96.6869,2017,1,6.95
75227,I-212,21.8,28.3,32.76681,-96.6869,2017,1,25.05
75227,I-140,2.8,5.6,32.76681,-96.6869,2017,1,4.199999999999999
75227,I-140,5.1,7,32.76681,-96.6869,2017,1,6.05
75227,I-817,12.1,21.8,32.76681,-96.6869,2017,1,16.95
75227,I-131,2.3,4.6,32.76681,-96.6869,2017,1,3.4499999999999997
75227,I-130,4.6,6.5,32.76681,-96.6869,2017,1,5.55
75227,I-130,6,7.9,32.76681,-96.6869,2017,1,6.95
75227,I-130,4.6,6.5,32.76681,-96.6869,2017,1,5.55
75227,I-102,3.3,7,32.76681,-96.6869,2017,1,5.15
75227,I-129,2.8,4.6,32.76681,-96.6869,2017,1,3.6999999999999997
75227,I-129F,6.5,8.4,32.76681,-96.6869,2017,1,7.45
75227,I-140,2.8,5.6,32.76681,-96.6869,2017,1,4.199999999999999
75227,I-730,7.4,9.8,32.76681,-96.6869,2017,1,8.600000000000001
75227,I-140,2.8,5.6,32.76681,-96.6869,2017,1,4.199999999999999
75227,N-656,9.3,12.1,32.76681,-96.6869,2017,1,10.7
75227,I-485,9.3,22.8,32.76681,-96.6869,2017,1,16.05
77067,N-400,15.8,20,29.952629,-95.446609,2017,1,17.9
77067,N-600,16.7,21.4,29.952629,-95.446609,2017,1,19.049999999999997
77067,I-485,18.1,22.3,29.952629,-95.446609,2017,1,20.200000000000003
78258,N-600,7.4,9.3,29.634097,-98.497426,2017,1,8.350000000000001
78258,N-400,12.1,15.8,29.634097,-98.497426,2017,1,13.95
78258,I-485,7.4,15.8,29.634097,-98.497426,2017,1,11.600000000000001
78552,N-600,13,16.7,26.193782,-97.75069,2017,1,14.85
78552,I-485,8.4,29.3,26.193782,-97.75069,2017,1,18.85
78552,N-400,13,19.5,26.193782,-97.75069,2017,1,16.25
79925,N-600,12.5,16.3,31.79695,-106.35688,2017,1,14.4
79925,I-485,9.8,19,31.79695,-106.35688,2017,1,14.4
79925,N-400,11.2,15.8,31.79695,-106.35688,2017,1,13.5
80111,N-400,10.7,16.3,39.613005,-104.877957,2017,1,13.5
80111,I-485,8.4,22.8,39.613005,-104.877957,2017,1,15.600000000000001
83709,N-400,9.3,18.1,43.551112,-116.290079,2017,1,13.700000000000001
83709,I-485,9.8,20.4,43.551112,-116.290079,2017,1,15.1
83709,N-600,3.7,6.5,43.551112,-116.290079,2017,1,5.1
84111,I-485,14.9,16.7,40.755959,-111.883983,2017,1,15.8
84111,N-600,3.3,6.5,40.755959,-111.883983,2017,1,4.9
84111,N-400,15.3,17.7,40.755959,-111.883983,2017,1,16.5
85034,I-485,13.5,18.6,33.42958,-112.014097,2017,1,16.05
85034,N-600,6.5,8.4,33.42958,-112.014097,2017,1,7.45
85034,N-400,15.8,16.7,33.42958,-112.014097,2017,1,16.25
85714,N-600,6,7.9,32.167395,-110.950864,2017,1,6.95
85714,N-400,4.6,9.8,32.167395,-110.950864,2017,1,7.2
85714,I-485,9.8,20.4,32.167395,-110.950864,2017,1,15.1
87107,N-400,5.1,14.9,35.1378,-106.642543,2017,1,10
87107,I-485,9.8,20.4,35.1378,-106.642543,2017,1,15.1
87107,N-600,5.1,7,35.1378,-106.642543,2017,1,6.05
89118,N-600,5.6,7.4,36.07738,-115.213966,2017,1,6.5
89118,I-485,13.9,16.7,36.07738,-115.213966,2017,1,15.3
89118,N-400,14.4,28.8,36.07738,-115.213966,2017,1,21.6
89521,N-600,3.7,6.5,39.385322,-119.69207,2017,1,5.1
89521,N-400,9.3,18.1,39.385322,-119.69207,2017,1,13.700000000000001
89521,I-485,9.8,20.4,39.385322,-119.69207,2017,1,15.1
90012,N-600,3.7,6.5,34.065975,-118.238642,2017,1,5.1
90012,I-485,12.1,23.7,34.065975,-118.238642,2017,1,17.9
90012,N-400,8.8,17.2,34.065975,-118.238642,2017,1,13
90012,N-600,7,8.8,34.065975,-118.238642,2017,1,7.9
90012,N-400,8.8,15.8,34.065975,-118.238642,2017,1,12.3
90012,I-485,12.5,18.1,34.065975,-118.238642,2017,1,15.3
91311,I-485,13.9,16.7,34.293338,-118.603118,2017,1,15.3
91311,N-600,6,7.9,34.293338,-118.603118,2017,1,6.95
91311,N-400,12.1,14.4,34.293338,-118.603118,2017,1,13.25
92251,I-485,9.8,20.4,32.881449,-115.675459,2017,1,15.1
92251,N-400,9.3,18.1,32.881449,-115.675459,2017,1,13.700000000000001
92251,N-600,5.6,7.4,32.881449,-115.675459,2017,1,6.5
92408,I-485,7,16.7,34.083458,-117.270016,2017,1,11.85
92408,N-600,5.1,7,34.083458,-117.270016,2017,1,6.05
92408,N-400,7,14.9,34.083458,-117.270016,2017,1,10.95
92408,I-485,7,17.2,34.083458,-117.270016,2017,1,12.1
92408,N-400,5.1,12.1,34.083458,-117.270016,2017,1,8.6
92408,N-600,5.6,7.4,34.083458,-117.270016,2017,1,6.5
92677,I-130,73.9,96.2,33.528868,-117.701175,2017,1,85.05000000000001
92677,I-612,13.5,17.2,33.528868,-117.701175,2017,1,15.35
92677,I-130,84.6,109.6,33.528868,-117.701175,2017,1,97.1
92677,I-360,3.7,6.5,33.528868,-117.701175,2017,1,5.1
92677,I-102,3.3,7,33.528868,-117.701175,2017,1,5.15
92677,I-129CW,0.9,2.8,33.528868,-117.701175,2017,1,1.8499999999999999
92677,I-129,0.7,3.7,33.528868,-117.701175,2017,1,2.2
92677,I-765,2.8,4.6,33.528868,-117.701175,2017,1,3.6999999999999997
92677,I-129,6,7.9,33.528868,-117.701175,2017,1,6.95
92677,I-539,1.4,4.2,33.528868,-117.701175,2017,1,2.8
92677,I-130,17.7,23.2,33.528868,-117.701175,2017,1,20.45
92677,I-129,6,7.9,33.528868,-117.701175,2017,1,6.95
92677,I-130,30.2,39,33.528868,-117.701175,2017,1,34.6
92677,I-130,39,50.6,33.528868,-117.701175,2017,1,44.8
92677,I-485,8.8,40.4,33.528868,-117.701175,2017,1,24.6
92677,I-765,1.9,4.6,33.528868,-117.701175,2017,1,3.25
92677,I-129F,5.1,7,33.528868,-117.701175,2017,1,6.05
92677,I-765,14.9,19.5,33.528868,-117.701175,2017,1,17.2
92677,I-129,8.8,11.6,33.528868,-117.701175,2017,1,10.2
92677,I-821,14.9,19.5,33.528868,-117.701175,2017,1,17.2
92677,I-539,2.3,4.2,33.528868,-117.701175,2017,1,3.25
92677,I-539,5.1,7,33.528868,-117.701175,2017,1,6.05
92677,I-824,3.3,9.8,33.528868,-117.701175,2017,1,6.550000000000001
92677,I-821D,13,17.2,33.528868,-117.701175,2017,1,15.1
92677,I-539,1.9,4.2,33.528868,-117.701175,2017,1,3.05
92677,I-129,6,7.9,33.528868,-117.701175,2017,1,6.95
92677,I-129F,5.1,7,33.528868,-117.701175,2017,1,6.05
92677,I-821,14.9,19.5,33.528868,-117.701175,2017,1,17.2
92677,I-751,13.9,18.1,33.528868,-117.701175,2017,1,16
92677,I-539,4.6,6.5,33.528868,-117.701175,2017,1,5.55
92677,I-131,1.9,4.6,33.528868,-117.701175,2017,1,3.25
92701,N-600,10.7,13.9,33.74822,-117.858473,2017,1,12.3
92701,N-400,9.8,13.9,33.74822,-117.858473,2017,1,11.850000000000001
92701,I-485,13,23.2,33.74822,-117.858473,2017,1,18.1
93721,N-600,4.2,6.5,36.732891,-119.783739,2017,1,5.35
93721,N-400,6,10.7,36.732891,-119.783739,2017,1,8.35
93721,I-485,6.5,18.6,36.732891,-119.783739,2017,1,12.55
94111,I-485,16.3,19,37.799367,-122.398407,2017,1,17.65
94111,N-600,7.4,9.3,37.799367,-122.398407,2017,1,8.350000000000001
94111,N-400,9.3,18.1,37.799367,-122.398407,2017,1,13.700000000000001
95050,N-600,5.6,7.4,37.351157,-121.952295,2017,1,6.5
95050,N-400,9.3,18.1,37.351157,-121.952295,2017,1,13.700000000000001
95050,I-485,8.8,17.7,37.351157,-121.952295,2017,1,13.25
95814,N-600,4.6,6.5,38.580568,-121.49559000000001,2017,1,5.55
95814,I-485,7.9,16.7,38.580568,-121.49559000000001,2017,1,12.3
95814,N-400,8.4,12.1,38.580568,-121.49559000000001,2017,1,10.25
96813,N-600,3.7,6.5,21.316548,-157.845053,2017,1,5.1
96813,I-485,9.8,20.4,21.316548,-157.845053,2017,1,15.1
96813,N-400,9.8,15.8,21.316548,-157.845053,2017,1,12.8
97209,N-600,6,7.9,45.531124,-122.683951,2017,1,6.95
97209,I-485,7.4,16.7,45.531124,-122.683951,2017,1,12.05
97209,N-400,6.5,10.2,45.531124,-122.683951,2017,1,8.35
98168,N-600,6,7.9,47.489569,-122.29996,2017,1,6.95
98168,N-400,13.5,17.7,47.489569,-122.29996,2017,1,15.6
98168,I-485,14.4,18.1,47.489569,-122.29996,2017,1,16.25
98901,I-485,9.8,20.4,46.722625,-120.406039,2017,1,15.1
98901,N-400,9.3,18.1,46.722625,-120.406039,2017,1,13.700000000000001
98901,N-600,6,7.9,46.722625,-120.406039,2017,1,6.95
99201,N-600,6,7.9,47.66236,-117.437255,2017,1,6.95
99201,I-485,9.8,20.4,47.66236,-117.437255,2017,1,15.1
99201,N-400,9.3,18.1,47.66236,-117.437255,2017,1,13.700000000000001
99501,N-400,9.3,18.1,61.220018,-149.855702,2017,1,13.700000000000001
99501,N-600,6,7.9,61.220018,-149.855702,2017,1,6.95
99501,I-485,9.8,20.4,61.220018,-149.855702,2017,1,15.1
00802,N-400,13.2,25.8,18.340862,-64.923479,2018,1,19.5
00802,I-485,13.9,29.1,18.340862,-64.923479,2018,1,21.5
00820,N-400,13.2,25.8,17.743072,-64.68657,2018,1,19.5
00820,I-485,13.9,29.1,17.743072,-64.68657,2018,1,21.5
00917,N-400,13.2,25.8,18.420674000000002,-66.050105,2018,1,19.5
00917,I-485,13.9,29.1,18.420674000000002,-66.050105,2018,1,21.5
00917,N-600,25.1,32.4,18.420674000000002,-66.050105,2018,1,28.75
01840,N-600,9.9,13.2,42.706763,-71.160403,2018,1,11.55
01840,N-400,8.6,21.1,42.706763,-71.160403,2018,1,14.850000000000001
01840,I-485,10.6,24.5,42.706763,-71.160403,2018,1,17.55
02203,N-600,13.2,17.2,42.360598,-71.058775,2018,1,15.2
02203,N-400,8.6,25.1,42.360598,-71.058775,2018,1,16.85
02203,I-485,11.9,27.8,42.360598,-71.058775,2018,1,19.85
02919,N-400,13.2,25.8,41.82744,-71.519879,2018,1,19.5
02919,I-485,13.9,29.1,41.82744,-71.519879,2018,1,21.5
02919,N-600,7.9,10.6,41.82744,-71.519879,2018,1,9.25
03110,I-485,13.9,29.1,42.935584,-71.536871,2018,1,21.5
03110,N-400,13.2,25.8,42.935584,-71.536871,2018,1,19.5
04106,N-400,13.2,25.8,43.631402,-70.285989,2018,1,19.5
04106,I-485,13.9,29.1,43.631402,-70.285989,2018,1,21.5
04106,N-600,6.6,9.3,43.631402,-70.285989,2018,1,7.95
05478,I-485,13.9,29.1,44.808422,-73.082507,2018,1,21.5
05478,N-400,13.2,25.8,44.808422,-73.082507,2018,1,19.5
05478,N-600,5.9,9.3,44.808422,-73.082507,2018,1,7.6000000000000005
06103,N-400,12.6,23.8,41.767208,-72.674257,2018,1,18.2
06103,I-485,13.9,29.1,41.767208,-72.674257,2018,1,21.5
06103,N-400,13.2,25.8,41.767208,-72.674257,2018,1,19.5
06103,N-600,5.3,9.3,41.767208,-72.674257,2018,1,7.300000000000001
06103,N-600,8.6,11.2,41.767208,-72.674257,2018,1,9.899999999999999
06103,I-485,13.9,29.1,41.767208,-72.674257,2018,1,21.5
07102,N-400,11.2,22.5,40.735659,-74.173605,2018,1,16.85
07102,I-485,13.9,28.4,40.735659,-74.173605,2018,1,21.15
